tm_index,cold_target,cold_solve_time,cold_iterations,cold_bar_iterations,cold_simplex_iterations,warm_target,warm_solve_time,warm_iterations,warm_bar_iterations,warm_simplex_iterations,time_improvement_pct,iter_improvement_pct
50,5734.665441,0.0189,27.0,0,27.0,5734.665441,0.0255,27.0,0,27.0,-35.05,0.00
51,6115.345588,0.0213,38.0,0,38.0,6115.345588,0.0200,38.0,0,38.0,6.24,0.00
52,36273.011029,0.0197,21.0,0,21.0,36273.011029,0.0202,21.0,0,21.0,-2.48,0.00
53,30896.558824,0.0197,7.0,0,7.0,30896.558824,0.0197,7.0,0,7.0,-0.17,0.00
54,2551.180147,0.0194,33.0,0,33.0,2551.180147,0.0234,33.0,0,33.0,-20.21,0.00
55,3282.187500,0.0197,32.0,0,32.0,3282.187500,0.0221,32.0,0,32.0,-12.49,0.00
56,2971.621324,0.0201,9.0,0,9.0,2971.621324,0.0211,9.0,0,9.0,-5.18,0.00
57,2246.952206,0.0187,27.0,0,27.0,2246.952206,0.0225,27.0,0,27.0,-20.23,0.00
58,40005.080882,0.0190,39.0,0,39.0,40005.080882,0.0195,39.0,0,39.0,-2.58,0.00
59,137163.459559,0.0206,8.0,0,8.0,137163.459559,0.0217,8.0,0,8.0,-5.43,0.00
60,81752.841912,0.0231,37.0,0,37.0,81752.841912,0.0205,37.0,0,37.0,11.46,0.00
61,41880.588235,0.0190,32.0,0,32.0,41880.588235,0.0205,32.0,0,32.0,-7.92,0.00
62,3213.639706,0.0202,32.0,0,32.0,3213.639706,0.0195,32.0,0,32.0,3.46,0.00
63,1390.323529,0.0187,25.0,0,25.0,1390.323529,0.0194,25.0,0,25.0,-3.64,0.00
64,1968.290441,0.0196,28.0,0,28.0,1968.290441,0.0195,28.0,0,28.0,0.87,0.00
65,2242.573529,0.0197,35.0,0,35.0,2242.573529,0.0204,35.0,0,35.0,-3.25,0.00
66,3448.522059,0.0193,37.0,0,37.0,3448.522059,0.0192,37.0,0,37.0,0.64,0.00
67,2535.393382,0.0193,33.0,0,33.0,2535.393382,0.0199,33.0,0,33.0,-2.94,0.00
68,1989.246324,0.0191,36.0,0,36.0,1989.246324,0.0199,36.0,0,36.0,-4.28,0.00
69,105015.404412,0.0204,7.0,0,7.0,105015.404412,0.0209,7.0,0,7.0,-2.75,0.00
70,5658.106618,0.0199,32.0,0,32.0,5658.106618,0.0194,32.0,0,32.0,2.15,0.00
71,2848.889706,0.0279,30.0,0,30.0,2848.889706,0.0205,30.0,0,30.0,26.48,0.00
72,2009.150735,0.0221,30.0,0,30.0,2009.150735,0.0209,30.0,0,30.0,5.14,0.00
73,83358.834559,0.0207,39.0,0,39.0,83358.834559,0.0197,39.0,0,39.0,5.09,0.00
74,973.544118,0.0202,33.0,0,33.0,973.544118,0.0199,33.0,0,33.0,1.52,0.00
75,76579.966912,0.0200,41.0,0,41.0,76579.966912,0.0201,41.0,0,41.0,-0.58,0.00
