tm_index,cold_target,cold_solve_time,cold_iterations,cold_bar_iterations,cold_simplex_iterations,warm_target,warm_solve_time,warm_iterations,warm_bar_iterations,warm_simplex_iterations,time_improvement_pct,iter_improvement_pct
373,51442.742647,0.0204,35.0,0,35.0,51442.742647,0.0209,35.0,0,35.0,-2.04,0.00
374,10945.669118,0.0204,5.0,0,5.0,10945.669118,0.0229,5.0,0,5.0,-12.63,0.00
375,7093.786765,0.0213,33.0,0,33.0,7093.786765,0.0231,33.0,0,33.0,-8.68,0.00
376,2443.834559,0.0271,8.0,0,8.0,2443.834559,0.0192,8.0,0,8.0,29.05,0.00
377,7835.051471,0.0239,5.0,0,5.0,7835.051471,0.0199,5.0,0,5.0,16.58,0.00
378,39885.860294,0.0241,35.0,0,35.0,39885.860294,0.0233,35.0,0,35.0,3.01,0.00
379,800.058824,0.0276,33.0,0,33.0,800.058824,0.0192,33.0,0,33.0,30.49,0.00
380,8566.334559,0.0269,27.0,0,27.0,8566.334559,0.0221,27.0,0,27.0,17.85,0.00
381,16051.720588,0.0219,32.0,0,32.0,16051.720588,0.0200,32.0,0,32.0,8.71,0.00
382,11429.110294,0.0211,28.0,0,28.0,11429.110294,0.0275,28.0,0,28.0,-30.22,0.00
383,16583.452206,0.0250,37.0,0,37.0,16583.452206,0.0192,37.0,0,37.0,23.05,0.00
384,42857.992647,0.0229,36.0,0,36.0,42857.992647,0.0216,36.0,0,36.0,5.62,0.00
385,955.415441,0.0208,7.0,0,7.0,955.415441,0.0203,7.0,0,7.0,2.31,0.00
386,28081.253676,0.0226,34.0,0,34.0,28081.253676,0.0216,34.0,0,34.0,4.34,0.00
387,42459.955882,0.0229,34.0,0,34.0,42459.955882,0.0205,34.0,0,34.0,10.52,0.00
388,1621.459559,0.0219,22.0,0,22.0,1621.459559,0.0213,22.0,0,22.0,2.99,0.00
389,33759.566176,0.0205,35.0,0,35.0,33759.566176,0.0201,35.0,0,35.0,2.15,0.00
390,6351.518382,0.0314,33.0,0,33.0,6351.518382,0.0207,33.0,0,33.0,34.03,0.00
391,1000.261029,0.0202,31.0,0,31.0,1000.261029,0.0195,31.0,0,31.0,3.54,0.00
392,71391.904412,0.0229,35.0,0,35.0,71391.904412,0.0203,35.0,0,35.0,11.42,0.00
393,10274.617647,0.0225,38.0,0,38.0,10274.617647,0.0202,38.0,0,38.0,10.34,0.00
394,921.511029,0.0216,37.0,0,37.0,921.511029,0.0224,37.0,0,37.0,-3.76,0.00
395,52531.000000,0.0234,34.0,0,34.0,52531.000000,0.0217,34.0,0,34.0,7.18,0.00
396,783.091912,0.0204,30.0,0,30.0,783.091912,0.0211,30.0,0,30.0,-3.00,0.00
397,71618.672794,0.0220,36.0,0,36.0,71618.672794,0.0208,36.0,0,36.0,5.47,0.00
398,323.294118,0.0198,36.0,0,36.0,323.294118,0.0240,36.0,0,36.0,-21.38,0.00
399,74103.014706,0.0232,38.0,0,38.0,74103.014706,0.0222,38.0,0,38.0,4.15,0.00
400,557.411765,0.0210,28.0,0,28.0,557.411765,0.0191,28.0,0,28.0,9.03,0.00
401,48842.613971,0.0212,35.0,0,35.0,48842.613971,0.0201,35.0,0,35.0,5.31,0.00
402,97510.933824,0.0251,35.0,0,35.0,97510.933824,0.0225,35.0,0,35.0,10.00,0.00
403,49178.352941,0.0208,35.0,0,35.0,49178.352941,0.0225,35.0,0,35.0,-7.95,0.00
404,895.047794,0.0215,22.0,0,22.0,895.047794,0.0314,22.0,0,22.0,-46.00,0.00
405,89682.981618,0.0218,35.0,0,35.0,89682.981618,0.0387,35.0,0,35.0,-77.74,0.00
406,1329.422794,0.0207,27.0,0,27.0,1329.422794,0.0238,27.0,0,27.0,-15.26,0.00
407,97936.555147,0.0257,34.0,0,34.0,97936.555147,0.0209,34.0,0,34.0,18.67,0.00
408,5446.522059,0.0224,5.0,0,5.0,5446.522059,0.0256,5.0,0,5.0,-14.48,0.00
409,917.801471,0.0229,29.0,0,29.0,917.801471,0.0309,29.0,0,29.0,-34.99,0.00
410,97671.444853,0.0201,33.0,0,33.0,97671.444853,0.0236,33.0,0,33.0,-17.65,0.00
411,47895.022059,0.0230,34.0,0,34.0,47895.022059,0.0253,34.0,0,34.0,-9.97,0.00
412,80063.165441,0.0227,32.0,0,32.0,80063.165441,0.0296,32.0,0,32.0,-30.64,0.00
413,1252.955882,0.0228,3.0,0,3.0,1252.955882,0.0222,3.0,0,3.0,2.43,0.00
414,35000.797794,0.0199,39.0,0,39.0,35000.797794,0.0258,39.0,0,39.0,-29.66,0.00
415,90428.750000,0.0225,36.0,0,36.0,90428.750000,0.0278,36.0,0,36.0,-23.57,0.00
416,33965.257353,0.0212,4.0,0,4.0,33965.257353,0.0205,4.0,0,4.0,3.04,0.00
417,47376.584559,0.0233,36.0,0,36.0,47376.584559,0.0228,36.0,0,36.0,2.05,0.00
418,96696.838235,0.0232,33.0,0,33.0,96696.838235,0.0248,33.0,0,33.0,-6.67,0.00
419,2069.316176,0.0210,24.0,0,24.0,2069.316176,0.0256,24.0,0,24.0,-22.23,0.00
420,268.055147,0.0255,25.0,0,25.0,268.055147,0.0203,25.0,0,25.0,20.30,0.00
421,95815.080882,0.0234,30.0,0,30.0,95815.080882,0.0227,30.0,0,30.0,2.77,0.00
422,30964.290441,0.0228,31.0,0,31.0,30964.290441,0.0215,31.0,0,31.0,5.66,0.00
423,713.316176,0.0202,6.0,0,6.0,713.316176,0.0218,6.0,0,6.0,-7.70,0.00
424,8172.055147,0.0196,4.0,0,4.0,8172.055147,0.0211,4.0,0,4.0,-7.28,0.00
425,56647.099265,0.0197,28.0,0,28.0,56647.099265,0.0248,28.0,0,28.0,-26.05,0.00
