tm_index,cold_target,cold_solve_time,cold_iterations,minhop_target,minhop_solve_time,minhop_iterations,loadbalance_target,loadbalance_solve_time,loadbalance_iterations,greedyqos_target,greedyqos_solve_time,greedyqos_iterations,minhop_improvement_pct,loadbalance_improvement_pct,greedyqos_improvement_pct
180,76165.441176,0.0254,29.0,76165.441176,0.0303,29.0,76165.441176,0.0228,29.0,76165.441176,0.0303,29.0,-19.48,10.05,-19.31
181,48607.588235,0.0252,35.0,48607.588235,0.0229,35.0,48607.588235,0.0231,35.0,48607.588235,0.0226,35.0,8.90,8.03,10.19
182,39249.110294,0.0238,37.0,39249.110294,0.0237,37.0,39249.110294,0.0214,37.0,39249.110294,0.0226,37.0,0.28,10.07,5.22
183,29541.988971,0.0206,6.0,29541.988971,0.0288,6.0,29541.988971,0.0212,6.0,29541.988971,0.0195,6.0,-39.64,-2.85,5.59
184,15057.224265,0.0195,24.0,15057.224265,0.0193,24.0,15057.224265,0.0216,24.0,15057.224265,0.0219,24.0,1.03,-10.75,-12.45
185,9968.823529,0.0197,26.0,9968.823529,0.0217,26.0,9968.823529,0.0255,26.0,9968.823529,0.0224,26.0,-9.90,-29.02,-13.64
186,6636.455882,0.0239,26.0,6636.455882,0.0249,26.0,6636.455882,0.0242,26.0,6636.455882,0.0227,26.0,-4.24,-1.01,4.97
187,11356.227941,0.0256,27.0,11356.227941,0.0220,27.0,11356.227941,0.0303,27.0,11356.227941,0.0230,27.0,13.90,-18.53,9.99
188,22438.665441,0.0191,21.0,22438.665441,0.0276,21.0,22438.665441,0.0218,21.0,22438.665441,0.0217,21.0,-44.10,-13.82,-13.15
189,72401.147059,0.0205,25.0,72401.147059,0.0230,25.0,72401.147059,0.0228,25.0,72401.147059,0.0222,25.0,-12.13,-10.82,-7.95
190,56137.488971,0.0231,30.0,56137.488971,0.0225,30.0,56137.488971,0.0255,30.0,56137.488971,0.0220,30.0,2.64,-10.54,4.52
191,15014.974265,0.0191,6.0,15014.974265,0.0203,6.0,15014.974265,0.0197,6.0,15014.974265,0.0237,6.0,-6.47,-3.23,-24.32
192,131157.786765,0.0231,16.0,131157.786765,0.0214,16.0,131157.786765,0.0227,16.0,131157.786765,0.0236,16.0,7.67,1.79,-2.12
193,4391.386029,0.0282,30.0,4391.386029,0.0204,30.0,4391.386029,0.0204,30.0,4391.386029,0.0230,30.0,27.84,27.84,18.41
194,21844.948529,0.0218,39.0,21844.948529,0.0235,39.0,21844.948529,0.0229,39.0,21844.948529,0.0230,39.0,-7.87,-5.05,-5.77
195,4042.779412,0.0273,30.0,4042.779412,0.0219,30.0,4042.779412,0.0258,30.0,4042.779412,0.0237,30.0,19.55,5.49,13.13
196,11731.389706,0.0201,25.0,11731.389706,0.0204,25.0,11731.389706,0.0228,25.0,11731.389706,0.0215,25.0,-1.21,-13.26,-7.10
197,4189.992647,0.0204,19.0,4189.992647,0.0256,19.0,4189.992647,0.0231,19.0,4189.992647,0.0227,19.0,-25.45,-13.18,-11.41
198,21481.275735,0.0231,40.0,21481.275735,0.0260,40.0,21481.275735,0.0212,40.0,21481.275735,0.0247,40.0,-12.60,7.94,-6.81
199,5521.926471,0.0207,31.0,5521.926471,0.0294,31.0,5521.926471,0.0225,31.0,5521.926471,0.0262,31.0,-41.64,-8.30,-26.17
200,2795.797794,0.0202,6.0,2795.797794,0.0215,6.0,2795.797794,0.0233,6.0,2795.797794,0.0290,6.0,-6.28,-14.84,-43.44
201,3870.224265,0.0217,6.0,3870.224265,0.0220,6.0,3870.224265,0.0216,6.0,3870.224265,0.0225,6.0,-1.64,0.21,-3.90
202,13356.485294,0.0218,2.0,13356.485294,0.0208,2.0,13356.485294,0.0223,2.0,13356.485294,0.0224,2.0,4.58,-2.22,-2.49
203,13057.011029,0.0207,32.0,13057.011029,0.0228,32.0,13057.011029,0.0247,32.0,13057.011029,0.0224,32.0,-10.16,-19.08,-8.34
204,12971.448529,0.0190,31.0,12971.448529,0.0221,31.0,12971.448529,0.0228,31.0,12971.448529,0.0231,31.0,-16.41,-20.12,-21.37
205,28342.555147,0.0202,19.0,28342.555147,0.0216,19.0,28342.555147,0.0225,19.0,28342.555147,0.0329,19.0,-7.19,-11.46,-62.96
206,14394.555147,0.0187,6.0,14394.555147,0.0201,6.0,14394.555147,0.0232,6.0,14394.555147,0.0226,6.0,-7.49,-24.39,-20.85
207,21549.268382,0.0238,46.0,21549.268382,0.0225,46.0,21549.268382,0.0246,46.0,21549.268382,0.0275,46.0,5.26,-3.21,-15.71
208,2622.198529,0.0205,26.0,2622.198529,0.0201,26.0,2622.198529,0.0222,26.0,2622.198529,0.0305,26.0,2.02,-8.43,-48.77
209,11455.286765,0.0193,8.0,11455.286765,0.0218,8.0,11455.286765,0.0258,8.0,11455.286765,0.0308,8.0,-12.85,-33.55,-59.50
210,19529.875000,0.0186,20.0,19529.875000,0.0214,20.0,19529.875000,0.0246,20.0,19529.875000,0.0279,20.0,-15.08,-32.40,-50.18
211,31478.705882,0.0214,18.0,31478.705882,0.0262,18.0,31478.705882,0.0226,18.0,31478.705882,0.0217,18.0,-22.53,-5.63,-1.77
212,72512.966912,0.0209,22.0,72512.966912,0.0231,22.0,72512.966912,0.0215,22.0,72512.966912,0.0326,22.0,-10.42,-2.92,-55.68
213,37844.110294,0.0196,26.0,37844.110294,0.0226,26.0,37844.110294,0.0212,26.0,37844.110294,0.0231,26.0,-15.58,-8.23,-18.13
214,44185.205882,0.0210,40.0,44185.205882,0.0198,40.0,44185.205882,0.0230,40.0,44185.205882,0.0248,40.0,5.62,-9.55,-18.48
215,2025.448529,0.0211,6.0,2025.448529,0.0211,6.0,2025.448529,0.0223,6.0,2025.448529,0.0253,6.0,0.21,-5.38,-20.00
216,13555.882353,0.0207,32.0,13555.882353,0.0268,32.0,13555.882353,0.0221,32.0,13555.882353,0.0248,32.0,-29.43,-6.81,-20.15
